楽園追放,-,476,796,1228,-,496,776,1223,-,1:54,"専用:BEMANI Designers ""T田""",
ちょえちょえまぎか,-,619,1159,1529,-,619,1136,1512,-,1:58,"専用:BEMANI Designers ""NAGI""",
ONE AND ONLY,-,600,919,1639,-,620,1018,1646,-,2:06,"専用:BEMANI Designers ""maysea""",
Super Freak,-,565,963,1754,-,606,974,1789,-,2:04,専用:murAta Yuzi,
Level 4,-,619,1066,1883,-,600,1032,1883,-,2:02,専用:Taiyo Yamamoto、Rei Kurashima,
kors k's How to make OTOGE CORE 「LONG」,-,607,1216,1863,-,610,1219,1859,-,2:09,"専用:BEMANI Designers ""猫long蕎麦""",
Beyond Evolution,-,753,1332,2216,-,777,1364,2137,-,2:06,専用,
AWA AWA,-,398,671,1169,-,405,705,1237,-,2:09,専用,
STRAIGHT TO THE STARS,-,530,879,1506,-,486,857,1456,-,2:01,tricoro CYBER汎用+レイヤー,?
EXODUS SIGN,-,626,921,1366,-,633,946,1275,-,2:00,専用,
glacia,-,606,1093,1492,-,608,1080,1497,-,1:58,Rootage CYBER汎用,
Chaotoxin,-,599,888,1705,-,615,869,1746,-,2:03,専用,
栄冠のカンパネラ,-,687,1101,2000,-,700,1179,2000,-,1:59,専用,
BIGWAVERS,-,587,963,1796,-,599,1042,1777,-,2:07,専用,
Somnidiscotheque,-,,,1776,-,,,1788,-,2:00,専用,
■□模様,-,495,782,1337,-,527,809,1380,-,2:03,SINOBUZ POPS汎用+ミスレイヤー,?
7 Colors,-,318,607,970,-,318,597,997,-,1:39,BISTROVER TRANSPORT汎用,
Ambush Ace,-,542,1075,1492,-,528,959,1477,-,1:54,HEROIC VERSE POPS汎用,
神のシナリオ,-,593,882,1652,-,589,904,1630,-,2:03,専用,
ぞうしょく！？マイデンティティ,-,645,1177,1851,-,645,1165,1787,-,1:57,CastHour CYBER汎用+レイヤー,?
Xerulean,-,690,1049,1802,-,709,1043,1804,-,1:54,copula TRANSPORT汎用(色違い)+レイヤー,?
《ORDERBREAKER》,-,511,815,1257,-,521,750,1298,-,1:59,BISTROVER METAL汎用,
Get On Your Feet,-,573,914,1384,-,587,944,1347,-,2:01,Rootage CYBER汎用,
OVER VOLTAGE,-,560,935,1332,-,583,954,1371,-,2:08,RESIDENT CYBER汎用,
Hat Surprise (Season 2),-,514,928,1729,-,524,947,1703,-,1:57,CANNON BALLERS RACING汎用,
Ōu Legends,-,581,1068,1687,-,600,1063,1701,-,2:02,tricoro TECHNO汎用,
Next Level,-,477,817,1100,-,473,816,1135,-,1:57,PENDUAL FUTURE汎用,
Red Soul,-,543,915,1494,-,532,931,1463,-,2:02,tricoro CYBER汎用,
STAR BEAT,-,427,880,1230,-,446,882,1271,-,1:56,CastHour CYBER汎用,
dica dica,-,591,1233,1638,-,600,1230,1640,-,2:01,SIRIUS CYBER汎用,
サヨナラ・ヘヴン-Celtic Chip Dance Mix-,-,461,775,1319,-,443,736,1280,-,1:58,CastHour CYBER汎用,
ZEИITH,-,580,1020,1531,-,597,1008,1502,-,1:55,Rootage CYBER汎用,
The Clown of 24stairs,-,579,1146,1788,-,572,1117,1786,-,1:48,HEROIC VERSE POPS汎用,
恋愛＝精度×認識力,-,825,1220,1756,-,805,1174,1716,-,2:06,SINOBUZ POPS汎用,
DEEP ROAR,-,503,726,1387,-,500,720,1378,-,1:57,6th EURO汎用+ミスレイヤー,VJ GYO
fun,-,311,586,950,-,295,574,950,-,1:41,5th DISCO汎用,
THE SHINING POLARIS(kors k mix),-,664,1061,1645,-,656,1006,1631,-,2:09,専用:rice.c,
